road_condition,contract_area_m2,contract_period,building_age,contract_year,contract_month,갈현동,고등동,금광동,금토동,단대동,도촌동,복정동,사송동,산성동,상대원동,상적동,성남동,수진동,시흥동,신촌동,신흥동,심곡동,양지동,여수동,오야동,은행동,중앙동,창곡동,태평동,하대원동,deposit
1.0,0.8393616648607441,2,0.40701695776465047,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0961132156727598
0.0,-0.24111226226694304,2,0.5883922579407767,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0094952078123143
0.0,0.6251033790280586,2,-0.5905471932040436,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11083337626019156
0.0,0.05731892157144089,2,0.49770460785271353,2024,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.43565090573686244
0.0,-0.605861486958301,2,-0.6812348432921067,2024,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6521959253879763
0.0,-0.2809030867787276,2,0.49770460785271353,2024,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6521959253879763
0.0,0.36187177071933,2,0.6790799080288398,2024,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11083337626019156
0.0,-0.27733211534818286,2,0.6790799080288398,2024,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.21910588608574852
1.0,0.6694854525219719,2,-1.4974236940846746,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.9463443104253906
2.0,1.6152827428405427,2,-1.4974236940846746,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.7622810437219436
2.0,1.6152827428405427,2,-1.4974236940846746,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.7406265417568323
2.0,0.5164438197843392,2,-1.4974236940846746,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.2967092514720489
1.0,-0.35079209906224645,2,-1.2253607438204852,2024,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4305291728675932
1.0,-0.35079209906224645,2,-1.2253607438204852,2024,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4305291728675932
1.0,-1.0802905484449625,2,-1.4067360439966115,2024,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5655779175275307
1.0,1.179624228314081,2,-1.2253607438204852,2024,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4374635142452727
1.0,0.9245548404180265,2,-1.4974236940846746,2024,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1884367416464918
0.0,-0.605861486958301,2,0.7697675581169028,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.21910588608574852
0.0,-0.09572271116619185,2,0.5883922579407767,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.9770134548646472
0.0,0.6388771259744452,2,0.6790799080288398,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.0025608664346346084
0.0,-0.8440962952532161,2,0.8604552082049659,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.43565090573686244
0.0,-0.10796604178520258,2,1.1325181584691553,2024,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1.193558474515761
0.0,0.5317479830581023,2,0.31632930767658735,2024,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.21910588608574852
0.0,0.22260388492808436,2,0.5883922579407767,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.863619212169821
1.0,0.15934667672986272,2,-1.95086194452499,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.863619212169821
0.0,-0.605861486958301,2,-0.4998595431159805,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11083337626019156
3.0,0.15934667672986272,2,0.13495400750046116,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5439234155624194
0.0,-0.45945165830596585,2,-0.4998595431159805,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6521959253879763
1.0,1.8458654694985759,2,-0.7719224933801698,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7297992907742765
0.0,-0.539543446105327,2,0.5883922579407767,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11083337626019156
1.0,0.45777786056824665,2,0.22564165758852425,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.18691602576009006
3.0,-1.7179640181850993,2,-1.769486644348864,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6521959253879763
0.0,-0.605861486958301,2,-0.2277965928517912,2022,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5439234155624194
