road_condition,contract_area_m2,contract_period,building_age,Galhyeon,Godeung,Geumgwang,Geumto,Dandae,Dochon,Bokjeong,Sasong,Sanseong,Sangdaewon,Sangjeok,Seongnam,Sujin,Siheung,Sinchon,Sinhung,Simgok,Yangji,Yeosu,Oya,Eunhaeng,Jungang,Changok,Taepyeong,Hadaewon,deposit
0.0,0.2544993298870381,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,20000
1.0,0.2871912693854107,0.3333333333333333,-0.6812348432921067,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
0.0,0.2805858701895463,0.3333333333333333,-0.5905471932040436,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10000
0.0,0.06701129618992915,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
2.0,0.19146084625694046,0.3333333333333333,-2.0415495946130533,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23000
2.0,0.37191269385410686,0.3333333333333333,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,42000
2.0,0.04690790733295041,0.3333333333333333,0.13495400750046116,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
3.0,0.062703427149148,0.3333333333333333,-0.6812348432921067,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
1.0,0.3109324143212713,0.3333333333333333,-0.04642129267566503,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6000
1.0,0.09573042312847022,0.3333333333333333,-0.4998595431159805,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12000
1.0,0.09573042312847022,0.3333333333333333,-0.5905471932040436,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,11000
